#id,category_id,language_id,name
1,1,1,Art
2,1,2,
3,1,3,アート
4,2,1,Crafts
5,2,2,
6,2,3,制作
7,3,1,Fashion
8,3,2,
9,3,3,ファッション
10,4,1,Film&Video
11,4,2,
12,4,3,フィルム＆ビデオ
13,5,1,Food
14,5,2,
15,5,3,フード
16,6,1,Games
17,6,2,
18,6,3,ゲーム
19,7,1,Journalism
20,7,2,
21,7,3,ジャーナリズム
22,8,1,Music
23,8,2,
24,8,3,音楽
25,9,1,Publishing
26,9,2,
27,9,3,出版
28,10,1,Technology
29,10,2,
30,10,3,テクノロジー
